depart,arrival,duration,routeLength,waitingTime,timeLoss,vType,rerouteNo,departSpeed,arrivalSpeed
144.0,398.0,254.0,1263.02,56.0,93.55,veh_passenger,1,0.0,6.24
77.0,399.0,322.0,3714.57,0.0,53.04,veh_passenger,1,0.0,8.53
32.0,402.0,370.0,4466.88,37.0,77.06,veh_passenger,1,0.0,12.91
310.0,406.0,96.0,541.87,0.0,12.08,DEFAULT_VEHTYPE,1,0.0,10.35
125.0,408.0,283.0,3610.8,0.0,36.93,veh_passenger,1,0.0,8.2
328.0,408.0,80.0,541.87,0.0,14.53,DEFAULT_VEHTYPE,1,0.0,12.83
78.0,412.0,334.0,4276.0,0.0,65.45,veh_passenger,1,0.0,8.78
345.0,412.0,67.0,541.87,0.0,6.79,DEFAULT_VEHTYPE,1,0.0,13.37
30.0,413.0,383.0,3911.26,0.0,48.99,veh_passenger,1,0.0,5.99
90.0,413.0,323.0,2918.63,37.0,89.82,veh_passenger,1,0.0,7.13
74.0,414.0,340.0,4324.69,0.0,46.77,veh_passenger,1,13.83,7.17
10.0,415.0,405.0,4704.07,47.0,103.21,veh_passenger,1,0.0,9.56
340.0,415.0,75.0,842.13,0.0,11.66,bus_bus,1,0.0,7.77
334.0,415.0,81.0,647.34,0.0,10.29,veh_passenger,1,0.0,12.49
80.0,416.0,336.0,2582.55,42.0,89.33,veh_passenger,1,8.67,8.39
43.0,417.0,374.0,6918.45,12.0,52.05,veh_passenger,1,0.0,13.45
18.0,420.0,402.0,4222.02,15.0,56.18,veh_passenger,1,0.0,7.55
191.0,420.0,229.0,1917.79,19.0,51.69,veh_passenger,1,0.0,7.64
63.0,424.0,361.0,3614.26,9.0,65.48,veh_passenger,1,0.0,7.42
241.0,424.0,183.0,1748.54,6.0,38.63,bus_bus,1,0.0,6.99
38.0,426.0,388.0,5051.33,0.0,63.06,veh_passenger,1,8.4,7.31
62.0,426.0,364.0,4260.8,26.0,84.05,veh_passenger,1,0.0,13.46
216.0,427.0,211.0,2171.21,0.0,36.5,bus_bus,1,8.33,7.8
131.0,429.0,298.0,2490.94,22.0,55.19,veh_passenger,1,13.65,8.05
163.0,429.0,266.0,2092.59,0.0,32.29,veh_passenger,1,7.72,2.95
15.0,431.0,416.0,4063.06,117.0,177.88,veh_passenger,1,0.0,14.55
204.0,433.0,229.0,2964.75,0.0,50.86,veh_passenger,1,0.0,8.45
363.0,434.0,71.0,541.87,0.0,7.0,DEFAULT_VEHTYPE,1,0.0,13.29
34.0,436.0,402.0,3998.53,11.0,61.34,veh_passenger,1,13.23,6.95
155.0,436.0,281.0,2583.01,10.0,41.01,veh_passenger,1,0.0,8.49
82.0,437.0,355.0,3851.3,29.0,72.45,veh_passenger,1,0.0,7.99
187.0,438.0,251.0,2421.92,10.0,67.48,bus_bus,1,0.0,6.66
38.0,438.0,400.0,4778.49,17.0,70.29,veh_passenger,1,0.0,14.05
95.0,439.0,344.0,3159.53,31.0,79.6,veh_passenger,1,0.0,7.84
45.0,440.0,395.0,9114.27,2.0,32.03,veh_passenger,1,0.0,14.79
68.0,441.0,373.0,3623.8,24.0,72.86,veh_passenger,1,3.95,7.53
348.0,443.0,95.0,1739.68,0.0,11.57,veh_passenger,1,0.0,29.52
165.0,447.0,282.0,3247.56,15.0,56.08,veh_passenger,1,0.0,6.76
58.0,449.0,391.0,6990.68,19.0,61.42,veh_passenger,1,0.0,21.49
71.0,449.0,378.0,4503.55,0.0,38.98,veh_passenger,1,8.63,7.48
92.0,449.0,357.0,2732.44,32.0,75.64,veh_passenger,1,0.0,6.31
29.0,454.0,425.0,5668.0,0.0,57.35,veh_passenger,1,0.0,7.63
351.0,458.0,107.0,783.27,0.0,10.23,veh_passenger,1,8.19,7.51
147.0,459.0,312.0,3543.45,9.0,46.11,veh_passenger,1,0.0,13.46
64.0,462.0,398.0,3591.81,44.0,89.22,veh_passenger,1,0.0,6.93
99.0,462.0,363.0,3199.17,88.0,127.86,veh_passenger,1,0.0,7.25
215.0,462.0,247.0,2076.08,44.0,73.92,veh_passenger,1,0.0,7.63
338.0,462.0,124.0,1310.32,0.0,13.97,veh_passenger,1,0.0,11.12
124.0,464.0,340.0,3927.45,46.0,84.66,veh_passenger,1,0.0,12.55
97.0,465.0,368.0,3568.76,38.0,121.19,veh_passenger,1,0.0,9.7
192.0,465.0,273.0,2893.43,0.0,34.68,veh_passenger,1,0.0,8.16
316.0,466.0,150.0,1221.08,0.0,17.52,bus_bus,1,0.0,8.16
28.0,467.0,439.0,4373.48,19.0,74.31,veh_passenger,1,8.34,12.89
69.0,467.0,398.0,3875.02,53.0,97.77,veh_passenger,1,0.0,7.8
98.0,470.0,372.0,4132.77,55.0,101.5,veh_passenger,1,0.0,9.22
283.0,470.0,187.0,2045.61,4.0,46.87,bus_bus,1,0.0,7.31
52.0,472.0,420.0,3043.3,53.0,99.52,veh_passenger,1,0.0,12.2
102.0,473.0,371.0,3045.55,40.0,93.13,veh_passenger,1,0.0,7.94
55.0,474.0,419.0,6038.43,63.0,121.3,veh_passenger,1,0.0,8.78
380.0,474.0,94.0,541.87,0.0,11.07,DEFAULT_VEHTYPE,1,0.0,9.5
24.0,478.0,454.0,6275.8,0.0,66.31,veh_passenger,1,0.0,9.42
66.0,479.0,413.0,5973.49,2.0,71.33,veh_passenger,1,0.0,17.43
67.0,480.0,413.0,4222.42,56.0,109.58,veh_passenger,1,0.0,14.24
70.0,480.0,410.0,4002.7,2.0,77.86,veh_passenger,1,0.0,7.65
136.0,480.0,344.0,4162.56,1.0,52.0,veh_passenger,1,0.0,8.01
398.0,480.0,82.0,541.87,0.0,9.7,DEFAULT_VEHTYPE,1,0.0,11.91
132.0,482.0,350.0,3402.44,10.0,83.76,veh_passenger,1,0.0,8.3
357.0,483.0,126.0,817.94,15.0,40.47,veh_passenger,1,0.0,6.5
303.0,484.0,181.0,1578.05,0.0,21.53,bus_bus,1,8.33,7.85
166.0,486.0,320.0,2832.48,59.0,83.25,veh_passenger,1,0.0,13.71
201.0,488.0,287.0,2243.23,33.0,89.01,bus_bus,1,0.0,8.22
146.0,488.0,342.0,3094.74,34.0,78.6,veh_passenger,1,0.0,6.69
203.0,488.0,285.0,2929.34,39.0,83.7,veh_passenger,1,0.0,8.58
36.0,490.0,454.0,5596.76,24.0,80.63,veh_passenger,1,8.62,7.7
46.0,490.0,444.0,5642.45,0.0,52.66,veh_passenger,1,0.0,12.06
372.0,490.0,118.0,1097.3,23.0,37.71,veh_passenger,1,0.0,13.35
156.0,491.0,335.0,3228.1,28.0,83.51,veh_passenger,1,5.17,6.82
105.0,492.0,387.0,4646.77,8.0,107.23,veh_passenger,1,0.0,9.43
362.0,492.0,130.0,949.48,0.0,15.19,veh_passenger,1,0.0,8.12
415.0,493.0,78.0,541.87,0.0,7.82,DEFAULT_VEHTYPE,1,0.0,11.62
21.0,494.0,473.0,4884.99,13.0,75.87,veh_passenger,1,0.0,7.49
48.0,496.0,448.0,4304.58,67.0,145.07,veh_passenger,1,0.0,9.23
93.0,497.0,404.0,3651.12,43.0,90.76,veh_passenger,1,0.0,7.17
88.0,501.0,413.0,2975.24,81.0,134.56,veh_passenger,1,0.0,6.03
154.0,501.0,347.0,5995.43,19.0,51.96,veh_passenger,1,0.0,7.48
354.0,501.0,147.0,1366.26,0.0,12.65,bus_bus,1,8.33,7.98
89.0,503.0,414.0,4425.34,63.0,126.37,veh_passenger,1,0.0,8.66
166.0,508.0,342.0,3267.87,41.0,115.02,veh_passenger,1,0.0,8.38
257.0,508.0,251.0,2383.62,1.0,34.73,bus_bus,1,0.0,8.0
433.0,508.0,75.0,541.87,0.0,7.38,DEFAULT_VEHTYPE,1,0.0,12.13
2.0,509.0,507.0,7648.3,0.0,56.74,veh_passenger,1,0.0,22.7
5.0,510.0,505.0,6234.14,0.0,76.2,veh_passenger,1,0.0,6.82
367.0,512.0,145.0,1824.07,0.0,17.82,veh_passenger,1,9.3,14.33
220.0,513.0,293.0,3137.26,2.0,62.68,bus_bus,1,0.0,9.31
213.0,514.0,301.0,2197.15,35.0,76.0,veh_passenger,1,7.72,7.18
106.0,515.0,409.0,4430.89,29.0,99.07,veh_passenger,1,0.0,8.7
128.0,515.0,387.0,4033.44,20.0,63.82,veh_passenger,1,0.0,6.28
75.0,516.0,441.0,4328.39,9.0,77.07,veh_passenger,1,0.0,6.16
450.0,516.0,66.0,541.87,0.0,6.96,DEFAULT_VEHTYPE,1,0.0,14.67
195.0,517.0,322.0,2484.35,33.0,78.85,veh_passenger,1,0.0,6.64
119.0,518.0,399.0,3986.74,33.0,103.91,veh_passenger,1,0.0,7.97
127.0,519.0,392.0,4275.58,60.0,124.55,veh_passenger,1,0.0,8.44
84.0,520.0,436.0,3921.52,56.0,101.4,veh_passenger,1,0.0,7.13
368.0,520.0,152.0,1497.25,20.0,42.64,bus_bus,1,0.0,8.58
230.0,521.0,291.0,2138.94,49.0,98.56,bus_bus,1,0.0,8.11
7.0,522.0,515.0,7178.93,5.0,84.42,veh_passenger,1,0.0,7.99
75.0,522.0,447.0,4367.22,94.0,170.61,veh_passenger,1,0.0,8.13
189.0,525.0,336.0,3709.63,0.0,34.15,bus_bus,1,0.0,13.6
85.0,525.0,440.0,4146.13,34.0,81.2,veh_passenger,1,0.0,7.89
212.0,525.0,313.0,3455.21,27.0,74.11,veh_passenger,1,9.3,8.51
327.0,528.0,201.0,1760.72,0.0,18.24,veh_passenger,1,7.49,7.21
203.0,529.0,326.0,218.26,301.0,310.02,bus_bus,0,0.0,8.31
358.0,531.0,173.0,1663.55,0.0,22.46,veh_passenger,1,0.0,8.25
137.0,532.0,395.0,4588.04,12.0,103.53,veh_passenger,1,0.0,7.98
71.0,533.0,462.0,5087.75,22.0,101.22,veh_passenger,1,0.0,8.88
74.0,534.0,460.0,4703.41,61.0,139.14,veh_passenger,1,0.0,15.23
92.0,535.0,443.0,4998.47,41.0,112.87,veh_passenger,1,8.76,7.91
21.0,538.0,517.0,4103.8,206.0,258.38,veh_passenger,1,0.0,13.33
356.0,538.0,182.0,2247.59,2.0,43.83,veh_passenger,1,0.0,8.8
67.0,541.0,474.0,5642.81,20.0,100.43,veh_passenger,1,0.0,8.66
144.0,542.0,398.0,4202.76,22.0,75.33,veh_passenger,1,0.0,6.77
468.0,542.0,74.0,541.87,0.0,7.98,DEFAULT_VEHTYPE,1,0.0,12.61
199.0,543.0,344.0,3569.24,0.0,56.13,veh_passenger,1,8.32,7.99
211.0,543.0,332.0,3367.5,7.0,89.67,bus_bus,1,0.0,7.85
57.0,544.0,487.0,4051.91,59.0,136.96,veh_passenger,1,0.0,7.97
86.0,544.0,458.0,2942.79,128.0,176.19,veh_passenger,1,0.0,4.72
18.0,545.0,527.0,4664.25,125.0,191.82,veh_passenger,1,0.0,8.55
86.0,545.0,459.0,5655.65,2.0,55.16,veh_passenger,1,0.0,6.88
123.0,546.0,423.0,2018.39,184.0,247.35,veh_passenger,1,0.0,13.41
61.0,550.0,489.0,4355.22,107.0,156.92,veh_passenger,1,0.0,8.25
210.0,550.0,340.0,3249.19,22.0,62.86,veh_passenger,1,0.0,20.62
139.0,551.0,412.0,5724.69,10.0,57.12,veh_passenger,1,0.0,12.05
245.0,551.0,306.0,3531.8,3.0,49.06,bus_bus,1,0.0,13.35
78.0,554.0,476.0,5658.75,6.0,77.5,veh_passenger,1,0.0,7.51
92.0,555.0,463.0,5891.18,33.0,100.27,veh_passenger,1,0.0,7.77
138.0,555.0,417.0,3862.96,66.0,130.77,veh_passenger,1,9.23,8.78
78.0,556.0,478.0,5296.24,12.0,79.87,veh_passenger,1,0.0,8.0
264.0,556.0,292.0,2722.31,48.0,94.46,bus_bus,1,0.0,13.47
485.0,558.0,73.0,541.87,0.0,8.04,DEFAULT_VEHTYPE,1,0.0,12.5
139.0,559.0,420.0,7108.13,33.0,112.02,veh_passenger,1,0.0,13.47
148.0,559.0,411.0,5233.65,73.0,145.41,veh_passenger,1,0.0,6.95
331.0,559.0,228.0,1658.04,8.0,39.81,veh_passenger,1,0.0,3.63
111.0,560.0,449.0,5387.7,29.0,121.61,veh_passenger,1,0.0,9.81
52.0,567.0,515.0,5977.55,70.0,136.46,veh_passenger,1,0.0,4.24
10.0,569.0,559.0,4948.63,88.0,219.02,veh_passenger,1,0.0,9.77
17.0,569.0,552.0,6633.66,66.0,154.06,veh_passenger,1,0.0,13.52
115.0,569.0,454.0,6571.65,44.0,107.34,veh_passenger,1,0.0,15.04
