id,depart,arrival,duration,routeLength,waitingTime,timeLoss,vType,rerouteNo,departSpeed,arrivalSpeed
veh4323,1332.0,1752.0,420.0,3803.87,35.0,118.98,veh_passenger,1,0.0,8.31
truck3064,1416.0,1752.0,336.0,3050.97,21.0,109.77,truck_truck,1,0.0,8.31
truck2946,1362.0,1753.0,391.0,3651.06,29.0,109.94,truck_truck,1,0.0,8.04
bus837,774.0,1754.0,980.0,16525.59,30.0,136.02,bus_bus,1,0.0,8.16
veh2787,859.0,1754.0,895.0,10134.74,99.0,270.48,veh_passenger,1,0.0,8.25
bus1431,1324.0,1754.0,430.0,3567.36,64.0,139.26,bus_bus,1,0.0,8.03
veh3900,1202.0,1756.0,554.0,5363.16,92.0,167.05,veh_passenger,1,0.0,14.87
truck3038,1404.0,1757.0,353.0,3731.13,5.0,77.9,truck_truck,1,0.0,7.97
bus821,760.0,1758.0,998.0,9251.99,147.0,384.33,bus_bus,1,0.0,13.77
myflow1.91,1693.0,1758.0,65.0,541.87,0.0,6.75,DEFAULT_VEHTYPE,1,0.0,14.19
veh3921,1209.0,1759.0,550.0,5989.52,131.0,246.55,veh_passenger,1,0.0,29.66
veh4226,1302.0,1760.0,458.0,4440.43,15.0,158.55,veh_passenger,1,0.0,7.29
bus427,395.0,1761.0,1366.0,13342.56,376.0,572.23,bus_bus,1,8.33,4.16
veh3876,1195.0,1761.0,566.0,4781.03,87.0,186.52,veh_passenger,1,0.0,8.46
veh3895,1200.0,1761.0,561.0,4973.84,16.0,130.5,veh_passenger,1,4.61,3.96
truck3078,1423.0,1761.0,338.0,2832.23,42.0,97.12,truck_truck,1,0.0,7.4
veh3862,1190.0,1762.0,572.0,5413.3,61.0,158.1,veh_passenger,1,0.0,7.27
veh3936,1213.0,1763.0,550.0,3495.52,179.0,280.98,veh_passenger,1,0.0,8.4
veh4014,1237.0,1763.0,526.0,6396.18,13.0,67.92,veh_passenger,1,0.0,14.17
veh1662,513.0,1764.0,1251.0,13270.04,239.0,517.11,veh_passenger,1,0.0,5.42
truck3017,1395.0,1764.0,369.0,3920.06,32.0,89.39,truck_truck,1,0.0,15.01
myflow3.62,1458.0,1764.0,306.0,1444.34,135.0,171.97,DEFAULT_VEHTYPE,1,0.0,7.91
veh3793,1169.0,1765.0,596.0,7385.69,114.0,194.61,veh_passenger,1,0.0,24.02
veh4538,1399.0,1766.0,367.0,2649.09,34.0,72.78,veh_passenger,1,7.19,6.43
myflow3.63,1468.0,1766.0,298.0,1444.34,125.0,177.82,DEFAULT_VEHTYPE,1,0.0,7.74
veh4445,1370.0,1768.0,398.0,6185.45,50.0,99.4,veh_passenger,1,0.0,24.7
veh4030,1242.0,1769.0,527.0,3661.76,108.0,176.45,veh_passenger,1,0.0,6.48
veh4041,1245.0,1769.0,524.0,4491.14,0.0,53.08,veh_passenger,1,0.0,6.72
veh4236,1306.0,1769.0,463.0,3910.94,98.0,178.93,veh_passenger,1,0.0,8.14
veh4300,1325.0,1769.0,444.0,5036.94,20.0,102.09,veh_passenger,1,15.0,8.01
veh4443,1369.0,1769.0,400.0,3243.51,74.0,134.71,veh_passenger,1,0.0,12.67
veh4713,1453.0,1769.0,316.0,1991.0,88.0,138.79,veh_passenger,1,0.0,6.88
veh2634,812.0,1770.0,958.0,7345.17,207.0,355.67,veh_passenger,1,8.06,7.8
bus1384,1280.0,1770.0,490.0,4569.9,22.0,110.92,bus_bus,1,8.33,8.0
veh4126,1272.0,1771.0,499.0,4456.15,86.0,145.96,veh_passenger,1,0.0,6.14
veh4171,1286.0,1771.0,485.0,5084.09,34.0,123.19,veh_passenger,1,0.0,4.17
myflow3.65,1528.0,1771.0,243.0,1654.06,46.0,90.46,DEFAULT_VEHTYPE,1,0.0,7.65
bus796,736.0,1772.0,1036.0,13232.26,38.0,222.43,bus_bus,1,0.0,12.85
veh2776,856.0,1772.0,916.0,17962.06,40.0,115.9,veh_passenger,1,6.55,27.31
veh4062,1252.0,1772.0,520.0,4825.21,31.0,156.84,veh_passenger,1,0.0,8.35
veh2903,895.0,1773.0,878.0,7185.09,84.0,200.86,veh_passenger,1,0.0,7.49
myflow3.66,1531.0,1773.0,242.0,1654.06,39.0,85.37,DEFAULT_VEHTYPE,1,0.0,7.89
veh4528,1396.0,1774.0,378.0,3755.08,26.0,95.98,veh_passenger,1,0.0,10.88
veh4582,1415.0,1774.0,359.0,2448.22,119.0,172.08,veh_passenger,1,0.0,13.59
bus1508,1394.0,1776.0,382.0,4422.49,20.0,87.86,bus_bus,1,0.0,7.81
veh4027,1241.0,1776.0,535.0,4294.05,76.0,132.27,veh_passenger,1,6.61,10.11
veh4229,1303.0,1776.0,473.0,4890.22,37.0,137.48,veh_passenger,1,0.0,7.27
veh4231,1304.0,1776.0,472.0,5621.92,11.0,107.35,veh_passenger,1,0.0,8.14
myflow3.67,1534.0,1776.0,242.0,1654.06,39.0,86.82,DEFAULT_VEHTYPE,1,0.0,8.95
veh2709,835.0,1777.0,942.0,12196.68,85.0,179.93,veh_passenger,1,0.0,24.62
veh2616,806.0,1778.0,972.0,10769.43,43.0,159.75,veh_passenger,1,6.55,6.12
veh15,5.0,1779.0,1774.0,10142.35,897.0,1047.47,veh_passenger,1,0.0,3.69
veh504,156.0,1780.0,1624.0,2401.07,1343.0,1407.71,veh_passenger,1,8.54,4.57
bus561,519.0,1780.0,1261.0,12061.62,310.0,580.08,bus_bus,1,0.0,7.19
veh4282,1320.0,1780.0,460.0,4811.66,51.0,148.9,veh_passenger,1,0.0,13.61
veh4018,1238.0,1781.0,543.0,4816.76,56.0,142.98,veh_passenger,1,0.0,8.39
veh4600,1418.0,1781.0,363.0,6438.29,34.0,71.67,veh_passenger,1,0.0,14.59
veh498,154.0,1782.0,1628.0,12844.53,565.0,844.16,veh_passenger,1,4.16,9.09
veh4136,1275.0,1782.0,507.0,4824.01,49.0,194.69,veh_passenger,1,0.0,8.65
truck2994,1384.0,1782.0,398.0,3665.55,10.0,60.34,truck_truck,1,0.0,3.63
myflow6.15,1292.0,1782.0,490.0,486.53,418.0,450.05,DEFAULT_VEHTYPE,1,0.0,6.85
veh2619,807.0,1783.0,976.0,12034.3,175.0,322.24,veh_passenger,1,0.0,6.39
veh4789,1476.0,1783.0,307.0,2554.26,10.0,45.71,veh_passenger,1,7.23,6.02
bus803,743.0,1784.0,1041.0,11098.56,142.0,336.09,bus_bus,1,0.0,8.26
myflow6.16,1300.0,1784.0,484.0,486.53,409.0,445.59,DEFAULT_VEHTYPE,1,0.0,7.84
veh4755,1465.0,1785.0,320.0,3016.6,0.0,30.42,veh_passenger,1,0.0,16.12
veh2655,818.0,1786.0,968.0,9811.09,78.0,183.5,veh_passenger,1,0.0,6.46
bus1507,1393.0,1786.0,393.0,3617.64,18.0,95.91,bus_bus,1,0.0,8.0
myflow6.17,1308.0,1786.0,478.0,486.53,403.0,439.25,DEFAULT_VEHTYPE,1,0.0,11.01
veh4330,1335.0,1788.0,453.0,4037.75,14.0,75.53,veh_passenger,1,6.65,5.47
myflow6.18,1317.0,1788.0,471.0,486.53,397.0,432.87,DEFAULT_VEHTYPE,1,0.0,10.7
bus619,573.0,1789.0,1216.0,12663.55,229.0,430.28,bus_bus,1,0.0,10.5
veh3951,1218.0,1789.0,571.0,5398.26,71.0,139.35,veh_passenger,1,0.0,7.58
bus1406,1300.0,1789.0,489.0,6168.03,0.0,78.16,bus_bus,1,0.0,8.29
veh2651,817.0,1790.0,973.0,11862.44,105.0,336.98,veh_passenger,1,0.0,7.91
bus1392,1287.0,1790.0,503.0,4627.59,44.0,119.71,bus_bus,1,0.0,8.21
bus1516,1404.0,1790.0,386.0,3286.6,82.0,125.22,bus_bus,1,0.0,13.62
veh4497,1386.0,1790.0,404.0,2930.06,48.0,102.41,veh_passenger,1,0.0,5.86
myflow6.19,1325.0,1790.0,465.0,486.53,389.0,432.53,DEFAULT_VEHTYPE,1,0.0,11.73
veh4694,1447.0,1790.0,343.0,4141.02,18.0,58.75,veh_passenger,1,4.4,14.46
myflow1.92,1710.0,1791.0,81.0,541.87,0.0,8.99,DEFAULT_VEHTYPE,1,0.0,11.81
veh2807,865.0,1793.0,928.0,13016.34,67.0,180.35,veh_passenger,1,8.8,3.88
veh4147,1278.0,1793.0,515.0,5495.14,8.0,56.0,veh_passenger,1,0.0,14.82
veh4450,1371.0,1793.0,422.0,1731.38,237.0,285.74,veh_passenger,1,0.0,14.14
myflow1.93,1728.0,1793.0,65.0,541.87,0.0,10.79,DEFAULT_VEHTYPE,1,0.0,12.55
veh2703,833.0,1794.0,961.0,12543.66,83.0,221.25,veh_passenger,1,8.28,7.24
veh4593,1416.0,1794.0,378.0,2257.53,153.0,196.63,veh_passenger,1,0.0,7.44
truck3026,1399.0,1794.0,395.0,4451.62,31.0,135.21,truck_truck,1,0.0,13.99
myflow4.21,1321.0,1795.0,474.0,1140.27,300.0,336.46,DEFAULT_VEHTYPE,1,0.0,6.68
myflow6.20,1333.0,1795.0,462.0,486.53,376.0,421.37,DEFAULT_VEHTYPE,1,0.0,6.27
veh4000,1233.0,1796.0,563.0,9048.09,29.0,94.8,veh_passenger,1,0.0,8.72
veh2803,864.0,1797.0,933.0,12470.44,111.0,258.14,veh_passenger,1,0.0,7.99
veh4150,1279.0,1797.0,518.0,4975.81,76.0,190.89,veh_passenger,1,8.79,10.19
veh4465,1376.0,1797.0,421.0,5513.3,0.0,122.92,veh_passenger,1,0.0,8.57
myflow6.21,1341.0,1797.0,456.0,486.53,373.0,421.3,DEFAULT_VEHTYPE,1,0.0,8.2
bus811,750.0,1798.0,1048.0,18423.99,82.0,227.13,bus_bus,1,0.0,14.32
veh4051,1249.0,1799.0,550.0,4414.46,80.0,179.88,veh_passenger,1,0.0,6.92
myflow6.22,1349.0,1799.0,450.0,486.53,366.0,409.04,DEFAULT_VEHTYPE,1,0.0,12.04
bus723,669.0,1800.0,1131.0,16236.7,30.0,203.18,bus_bus,1,8.33,8.08
veh4203,1295.0,1800.0,505.0,6058.68,13.0,120.4,veh_passenger,1,0.0,8.07
veh4876,1508.0,1800.0,292.0,3252.99,34.0,83.53,veh_passenger,1,0.0,8.91
myflow6.23,1358.0,1801.0,443.0,486.53,359.0,401.86,DEFAULT_VEHTYPE,1,0.0,11.05
veh4172,1286.0,1802.0,516.0,7820.27,63.0,120.96,veh_passenger,1,0.0,14.02
myflow6.24,1365.0,1802.0,437.0,486.53,359.0,398.71,DEFAULT_VEHTYPE,1,0.0,11.95
veh4684,1444.0,1802.0,358.0,2852.21,59.0,131.3,veh_passenger,1,0.0,8.58
veh4815,1484.0,1802.0,318.0,2633.46,9.0,44.64,veh_passenger,1,0.0,3.73
bus567,526.0,1804.0,1278.0,9810.05,414.0,604.35,bus_bus,1,0.31,7.9
